"","q01","q02","q03","q05","party_registered","q06","q06a","q06b","q07","q16","q24","q36","q37","q38","q39","q40","q45","q46","q46a","q46b","d1","d1a","d2","d3","d4","d4a","d5","d5a","d6","d7","d8","d9","d9a","d10","d10a","d11","county","language","gender","weight","pres_ticketpref","year"
"11","wrong direction","bad times","yes, serious recession","yes","Democrat",2,0,0,"Barack Obama and Joe Biden","fairly closely","disapprove","disapprove","approve","only some of the time","a few big interests","a lot","somewhat liberal","fair amount","nearly always","yes",38,"35 to 44","rent",1,"yes","Have kids, public schools","not-employed","[VOL] disabled; on disability","never married","High school graduate/GED","Caucasian or White And Non-Hispanic","yes",NA,"no religion (includes: not a believer, not religious, atheis",NA,"$20,000 to under $40,000","Sacramento     ","English","Male",1.18021645961734,"Democratic",2008
"12","wrong direction","bad times","yes, serious recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","very closely","disapprove","disapprove","approve","only some of the time","a few big interests","some","somewhat liberal","great deal","always","yes",38,"35 to 44","own",1,"yes","Have kids, public schools","full-time employed",NA,"married","College graduate","Caucasian or White And Non-Hispanic","yes",NA,"no religion (includes: not a believer, not religious, atheis",NA,"$100,000 to under $200,000","Yolo           ","English","Male",1.18021645961734,"Democratic",2008
"13","wrong direction","bad times","no","yes","Democrat",2,0,0,"Barack Obama and Joe Biden","fairly closely","disapprove","disapprove","disapprove","only some of the time","benefit of all of the people","some","very liberal","fair amount","always","yes",47,"45 to 54","rent",0,"yes","Have kids, public schools","not-employed","[VOL] disabled; on disability","married","High school graduate/GED","Caucasian or White And Non-Hispanic","yes",NA,"Catholic","yes, would","Under $20,000","Madera         ","English","Male",0.758717772558479,"Democratic",2008
"14","wrong direction","bad times","yes, serious recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","fairly closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","some","somewhat liberal","fair amount","nearly always","yes",54,"45 to 54","own",3,"yes","Have kids, public schools","full-time employed",NA,"divorced","Post graduate","Caucasian or White And Non-Hispanic","yes",NA,"no religion (includes: not a believer, not religious, atheis",NA,"$80,000 to under $100,000","San Joaquin    ","English","Male",0.758717772558479,"Democratic",2008
"15","wrong direction","bad times","yes, serious recession","yes","Democrat",2,0,0,"Barack Obama and Joe Biden","not too closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","a lot","middle-of-the-road","only a little","never","yes",45,"45 to 54","own",2,"no","Do not have kids","full-time employed",NA,"never married","Some college","Caucasian or White And Non-Hispanic","yes",NA,"Catholic","no, would not","$60,000 to under $80,000","Sacramento     ","English","Male",0.758717772558479,"Democratic",2008
"16","wrong direction","bad times","yes, moderate recession","yes","Democrat",1,0,0,"[VOL] someone else (SPECIFY)","very closely","disapprove","disapprove","disapprove","only some of the time","a few big interests",NA,"somewhat conservative","fair amount","always","yes",50,"45 to 54","own",20,"no","Do not have kids","full-time employed",NA,"married","College graduate","[VOL] Other (SPECIFY)","yes",NA,"Catholic","yes, would","$40,000 to under $60,000","Kern           ","English","Male",0.758717772558479,"Democratic",2008
"17","wrong direction","good times","yes, serious recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","fairly closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","a lot","somewhat liberal","fair amount","always","yes",49,"45 to 54","own",10,"no","Do not have kids","full-time employed",NA,"married","College graduate","Caucasian or White And Non-Hispanic","yes",NA,"Jewish",NA,"$80,000 to under $100,000","San Joaquin    ","English","Male",0.758717772558479,"Democratic",2008
"18","wrong direction","bad times","yes, serious recession","yes","Democrat",2,0,0,"Barack Obama and Joe Biden","very closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","a lot","middle-of-the-road","fair amount","part of the time","yes",51,"45 to 54","rent",23,"no","Do not have kids","not-employed","[VOL] disabled; on disability","separated","High school graduate/GED","Caucasian or White And Non-Hispanic","yes",NA,"Christian; just Christian","yes, would","$40,000 to under $60,000","Sacramento     ","English","Male",0.758717772558479,"Democratic",2008
"19","wrong direction","good times","yes, serious recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","fairly closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","a lot","somewhat conservative","fair amount","nearly always","yes",51,"45 to 54","own",9,"yes","Have kids, public schools","full-time employed",NA,"married","High school graduate/GED","Caucasian or White And Non-Hispanic","yes",NA,"Orthodox Christian (e.g., Greek/Russian/Serbian/etc.)","no, would not","$40,000 to under $60,000","Sacramento     ","English","Male",0.758717772558479,"Democratic",2008
"20","wrong direction","bad times","yes, moderate recession","yes","Democrat",2,0,0,"John McCain and Sarah Palin","very closely","disapprove",NA,"disapprove","[VOL] none of the time, not at all","a few big interests","a lot","somewhat conservative","great deal","always","yes",53,"45 to 54","own",9,"no","Do not have kids","full-time employed",NA,"married","Some college",NA,"yes",NA,"Christian; just Christian","yes, would","$100,000 to under $200,000","Sacramento     ","English","Male",0.758717772558479,"Democratic",2008
"21","right direction","bad times","yes, serious recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","not too closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","a lot","middle-of-the-road","only a little","always","yes",50,"45 to 54","rent",16,"no","Do not have kids","not-employed","not employed, retired","divorced","College graduate","Caucasian or White And Non-Hispanic","yes",NA,"Protestant (INCL: Baptist, Lutheran, Methodist, Presbyterian","no, would not","$40,000 to under $60,000","Butte          ","English","Male",0.758717772558479,"Democratic",2008
"22","wrong direction","bad times","yes, mild recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","very closely","disapprove","disapprove","approve","only some of the time","a few big interests","a lot","middle-of-the-road","great deal","always","yes",55,"55 to 64","own",25,"no","Do not have kids","full-time employed",NA,"married","Post graduate","Caucasian or White And Non-Hispanic","yes",NA,"no religion (includes: not a believer, not religious, atheis",NA,"$100,000 to under $200,000","San Joaquin    ","English","Male",0.45991213525075,"Democratic",2008
"23","wrong direction","bad times","yes, serious recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","very closely","disapprove","disapprove","approve","only some of the time","benefit of all of the people","some","somewhat liberal","fair amount","always","yes",56,"55 to 64","own",20,"yes","Have kids, both public and private schools","full-time employed",NA,"married","Post graduate","Caucasian or White And Non-Hispanic","yes",NA,"Protestant (INCL: Baptist, Lutheran, Methodist, Presbyterian","no, would not","$200,000 or more","Sacramento     ","English","Male",0.45991213525075,"Democratic",2008
"24","wrong direction","bad times","yes, serious recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","very closely","disapprove","disapprove","disapprove","[VOL] none of the time, not at all","a few big interests","a lot","somewhat liberal","great deal","always","yes",60,"55 to 64","own",1,"no","Do not have kids","not-employed","not employed, retired","married","Post graduate","[VOL] Other (SPECIFY)","yes",NA,"Jehovah's Witness","yes, would","$60,000 to under $80,000","Yolo           ","English","Male",0.45991213525075,"Democratic",2008
"25","wrong direction","[VOL] don't know","[VOL] don't know","yes","Democrat",2,0,0,"[VOL] don't know","fairly closely","[VOL] don't know","approve","approve","only some of the time","[VOL] don't know","a lot","somewhat conservative","fair amount","always","yes",55,"55 to 64","own",5,"yes","Have kids, public schools","full-time employed",NA,"married","Post graduate","Hispanic or Latino","no","yes, U.S. citizen","Catholic","no, would not","$40,000 to under $60,000","Kern           ","English","Male",0.45991213525075,"Democratic",2008
"26","wrong direction","bad times","yes, moderate recession","yes","Democrat",2,0,0,"Barack Obama and Joe Biden","fairly closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","some","somewhat liberal","fair amount","always","yes",63,"55 to 64","own",2,"no","Do not have kids","not-employed","not employed, retired","married","College graduate","Caucasian or White And Non-Hispanic","yes",NA,"Catholic","no, would not","$80,000 to under $100,000","Sacramento     ","English","Male",0.45991213525075,"Democratic",2008
"27","right direction","bad times","yes, mild recession","yes","Democrat",2,0,0,"Barack Obama and Joe Biden","very closely","approve","disapprove","disapprove","only some of the time","a few big interests","a lot","middle-of-the-road","fair amount","always","yes",55,"55 to 64","own",30,"no","Do not have kids","full-time employed",NA,"married","Some college","Caucasian or White And Non-Hispanic","no","yes, U.S. citizen","Christian; just Christian","no, would not","$80,000 to under $100,000","Sacramento     ","English","Male",0.45991213525075,"Democratic",2008
"28","wrong direction","bad times","yes, moderate recession","yes","Democrat",2,0,0,"Barack Obama and Joe Biden","fairly closely","approve","disapprove","approve","only some of the time","a few big interests","some","middle-of-the-road","only a little","nearly always","yes",55,"55 to 64","own",1,"no","Do not have kids","not-employed","not employed, retired","never married","High school graduate/GED","Caucasian or White And Non-Hispanic","yes",NA,"Protestant (INCL: Baptist, Lutheran, Methodist, Presbyterian","no, would not","Under $20,000","Sacramento     ","English","Male",0.45991213525075,"Democratic",2008
"29","right direction","bad times","yes, moderate recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","very closely","disapprove","disapprove","disapprove","most of the time","a few big interests","a lot","somewhat liberal","great deal","nearly always","yes",60,"55 to 64","rent",6,"no","Do not have kids","part-time employed",NA,"never married","College graduate","Caucasian or White And Non-Hispanic","yes",NA,"no religion (includes: not a believer, not religious, atheis",NA,"$20,000 to under $40,000","Placer         ","English","Male",0.45991213525075,"Democratic",2008
"30","wrong direction","bad times","no","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","very closely","disapprove","disapprove","[VOL] don't know","only some of the time","a few big interests","some","somewhat liberal","great deal","always","yes",55,"55 to 64","own",20,"no","Do not have kids","full-time employed",NA,"married","Post graduate","Caucasian or White And Non-Hispanic","yes",NA,"no religion (includes: not a believer, not religious, atheis",NA,"$80,000 to under $100,000","Sacramento     ","English","Male",0.45991213525075,"Democratic",2008
"31","wrong direction","bad times","yes, serious recession","yes","Democrat",2,0,0,"Barack Obama and Joe Biden","fairly closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","a lot","middle-of-the-road","only a little","always","yes",62,"55 to 64","own",5,"no","Do not have kids","not-employed","not employed, retired","married","Some college","Caucasian or White And Non-Hispanic","yes",NA,"Protestant (INCL: Baptist, Lutheran, Methodist, Presbyterian","no, would not","$40,000 to under $60,000","Yolo           ","English","Male",0.45991213525075,"Democratic",2008
"32","wrong direction","bad times","yes, mild recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","very closely","disapprove","disapprove","approve","only some of the time","a few big interests","a lot","somewhat liberal","fair amount","always","yes",59,"55 to 64","own",23,"no","Do not have kids","full-time employed",NA,"married","College graduate","Hispanic or Latino","no","yes, U.S. citizen","Catholic","no, would not","$60,000 to under $80,000","Sacramento     ","English","Male",0.45991213525075,"Democratic",2008
"33","wrong direction","bad times","yes, serious recession","yes","Democrat",2,0,0,"Barack Obama and Joe Biden","not at all closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","a lot","somewhat conservative","only a little","always","yes",62,"55 to 64","own",28,"no","Do not have kids","not-employed","not employed, retired","married","Some college","Black or African American","yes",NA,"Protestant (INCL: Baptist, Lutheran, Methodist, Presbyterian","yes, would","$40,000 to under $60,000","Madera         ","English","Male",0.45991213525075,"Democratic",2008
"34","wrong direction","bad times","yes, moderate recession","yes","Democrat",2,0,0,"[VOL] someone else (SPECIFY)","not too closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","a lot","middle-of-the-road","fair amount","nearly always","yes",59,"55 to 64","rent",45,"no","Do not have kids","not-employed","not employed, retired","married","Some college","Caucasian or White And Non-Hispanic","yes",NA,"Protestant (INCL: Baptist, Lutheran, Methodist, Presbyterian","yes, would","$40,000 to under $60,000","Sacramento     ","English","Male",0.45991213525075,"Democratic",2008
"35","wrong direction","bad times","yes, serious recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","very closely","approve","disapprove","approve","most of the time","benefit of all of the people","some","somewhat liberal","great deal","always","yes",58,"55 to 64","own",4,"no","Do not have kids","full-time employed",NA,"married","Some high school or less","Caucasian or White And Non-Hispanic","yes",NA,"Protestant (INCL: Baptist, Lutheran, Methodist, Presbyterian","no, would not","$100,000 to under $200,000","Kern           ","English","Male",0.45991213525075,"Democratic",2008
"36","wrong direction","bad times","yes, moderate recession","yes","Democrat",0,0,0,"Barack Obama and Joe Biden","not too closely","approve","disapprove","disapprove","only some of the time","a few big interests","a lot","middle-of-the-road","only a little","part of the time","yes",56,"55 to 64","rent",5,"yes","Have kids, public schools","not-employed","[VOL] disabled; on disability","married",NA,"Hispanic or Latino","no","yes, U.S. citizen","Catholic","no, would not","$80,000 to under $100,000","San Joaquin    ","Spanish","Male",0.45991213525075,NA,2008
"37","wrong direction","bad times","yes, serious recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","very closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","a lot","middle-of-the-road","fair amount","nearly always","yes",69,"65 or older","rent",20,"no","Do not have kids","not-employed","not employed, retired","divorced","College graduate","Caucasian or White And Non-Hispanic","yes",NA,"Protestant (INCL: Baptist, Lutheran, Methodist, Presbyterian","yes, would","Under $20,000","Stanislaus     ","English","Male",0.717470085930768,"Democratic",2008
"38","wrong direction","bad times","yes, moderate recession","yes","Democrat",3,0,0,"Barack Obama and Joe Biden","fairly closely","[VOL] don't know","disapprove","approve","only some of the time","[VOL] don't know","a lot","middle-of-the-road","fair amount","always","yes",87,"65 or older","own",25,"no","Do not have kids","not-employed","not employed, retired","married","Some high school or less","Caucasian or White And Non-Hispanic","yes",NA,"Protestant (INCL: Baptist, Lutheran, Methodist, Presbyterian","yes, would","Under $20,000","Butte          ","English","Male",0.717470085930768,NA,2008
"39","[VOL] don't know","good times","yes, mild recession","yes","Democrat",3,0,0,"[VOL] don't know","not too closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","some","middle-of-the-road","only a little","always","yes",72,"65 or older","own",60,"no","Do not have kids","not-employed","not employed, retired","never married","College graduate","Caucasian or White And Non-Hispanic","yes",NA,"Protestant (INCL: Baptist, Lutheran, Methodist, Presbyterian","yes, would","$20,000 to under $40,000","Placer         ","English","Male",0.717470085930768,NA,2008
"40","wrong direction","bad times","yes, serious recession","yes","Democrat",2,0,0,"John McCain and Sarah Palin","not too closely","disapprove","approve","disapprove","only some of the time","a few big interests","a lot","very conservative","fair amount","nearly always","yes",77,"65 or older","own",50,"no","Do not have kids","not-employed","not employed, retired","widowed","Some college","Caucasian or White And Non-Hispanic","yes",NA,"Protestant (INCL: Baptist, Lutheran, Methodist, Presbyterian","no, would not","$60,000 to under $80,000","Kings          ","English","Male",0.717470085930768,"Democratic",2008
"41","[VOL] don't know","bad times","yes, serious recession","yes","Democrat",1,0,0,"[VOL] don't know","fairly closely","[VOL] don't know","disapprove","[VOL] don't know","only some of the time","a few big interests","some","somewhat conservative","only a little","always","yes",75,"65 or older","own",5,"no","Do not have kids","part-time employed",NA,"married","High school graduate/GED","Caucasian or White And Non-Hispanic","yes",NA,"Protestant (INCL: Baptist, Lutheran, Methodist, Presbyterian",NA,"$20,000 to under $40,000","Fresno         ","English","Male",0.717470085930768,"Democratic",2008
"42","wrong direction","bad times","yes, serious recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","very closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","a lot","very liberal","great deal","always","yes",78,"65 or older","rent",1,"no","Do not have kids","not-employed","not employed, retired","married","High school graduate/GED","Caucasian or White And Non-Hispanic","yes",NA,"Jewish",NA,"Under $20,000","Sacramento     ","English","Male",0.717470085930768,"Democratic",2008
"43","wrong direction","good times","yes, serious recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","fairly closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","a lot","somewhat liberal","only a little","always","yes",65,"65 or older","own",15,"no","Do not have kids","not-employed","not employed, retired","married","Some high school or less","Hispanic or Latino","no","yes, U.S. citizen","Catholic","no, would not","$80,000 to under $100,000","Kern           ","Spanish","Male",0.717470085930768,"Democratic",2008
"44","wrong direction","bad times","yes, serious recession","yes","Democrat",2,0,0,"Barack Obama and Joe Biden","fairly closely","disapprove","disapprove","disapprove","only some of the time","benefit of all of the people","a lot","middle-of-the-road","only a little","always","yes",79,"65 or older","own",35,"yes","Have kids, public schools","not-employed","not employed, retired","divorced","Some high school or less","Hispanic or Latino","no","yes, U.S. citizen","Catholic","no, would not","$20,000 to under $40,000","Yolo           ","Spanish","Male",0.717470085930768,"Democratic",2008
"45","wrong direction","bad times","yes, moderate recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","fairly closely","approve","disapprove","disapprove","only some of the time","a few big interests","a lot","somewhat liberal","fair amount","nearly always","yes",28,"25 to 34","rent",0,"yes","Have kids, public schools","not-employed","not employed, student","never married","Some college","Hispanic or Latino","yes",NA,"Protestant (INCL: Baptist, Lutheran, Methodist, Presbyterian","no, would not","Under $20,000","Tulare         ","English","Female",1.55676721481875,"Democratic",2008
"46","wrong direction","bad times","yes, serious recession","yes","Democrat",2,0,0,"Barack Obama and Joe Biden","fairly closely","disapprove","disapprove","disapprove","[VOL] none of the time, not at all","a few big interests","a lot","middle-of-the-road","fair amount","nearly always","[VOL] don't know",34,"25 to 34","rent",1,"no","Do not have kids","not-employed","not employed, homemaker","never married","Some college","[VOL] Other (SPECIFY)","yes",NA,"Christian; just Christian","yes, would","$20,000 to under $40,000","Sacramento     ","English","Female",1.55676721481875,"Democratic",2008
"47","wrong direction","bad times","yes, moderate recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","fairly closely","approve","disapprove","disapprove","only some of the time","a few big interests","a lot","very liberal","fair amount","always","yes",33,"25 to 34","own",1,"no","Do not have kids","full-time employed",NA,"married","Post graduate","Caucasian or White And Non-Hispanic","yes",NA,"some other religion (SPECIFY)","no, would not","$60,000 to under $80,000","Butte          ","English","Female",1.55676721481875,"Democratic",2008
"48","[VOL] don't know","bad times","yes, moderate recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","fairly closely","approve","disapprove","disapprove","only some of the time","a few big interests","a lot","somewhat liberal","fair amount","nearly always","yes",34,"25 to 34","own",2,"yes","Have kids, not old enough to attend schools","not-employed","not employed, student","married","College graduate","Caucasian or White And Non-Hispanic","yes",NA,"Catholic","no, would not","$60,000 to under $80,000","Sacramento     ","English","Female",1.55676721481875,"Democratic",2008
"49","wrong direction","good times","yes, moderate recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","not too closely","approve","disapprove","approve","only some of the time","[VOL] don't know","some","somewhat conservative","only a little","always","yes",34,"25 to 34","own",2,"yes","Have kids, public schools","full-time employed",NA,"married","College graduate","Hispanic or Latino","no","yes, U.S. citizen","no religion (includes: not a believer, not religious, atheis",NA,"$40,000 to under $60,000","Kings          ","English","Female",1.55676721481875,"Democratic",2008
"50","wrong direction","good times","yes, serious recession","yes","Democrat",2,0,0,"Barack Obama and Joe Biden","very closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","a lot","middle-of-the-road","fair amount","always","yes",31,"25 to 34","rent",2,"yes","Have kids, not old enough to attend schools","part-time employed",NA,"never married","Some college","Caucasian or White And Non-Hispanic","yes",NA,NA,"no, would not","$40,000 to under $60,000","El Dorado      ","English","Female",1.55676721481875,"Democratic",2008
"51","[VOL] don't know","bad times","yes, serious recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","not at all closely","disapprove","disapprove","disapprove","most of the time","a few big interests","a lot","middle-of-the-road","fair amount","nearly always","yes",32,"25 to 34","own",27,"no","Do not have kids","full-time employed",NA,"married","College graduate","Hispanic or Latino","yes",NA,"Catholic","no, would not","$100,000 to under $200,000","Tulare         ","Spanish","Female",1.55676721481875,"Democratic",2008
"52","right direction","bad times","[VOL] don't know","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","not at all closely","[VOL] don't know","disapprove","[VOL] don't know","only some of the time","a few big interests","a lot","middle-of-the-road","none","nearly always","yes",29,"25 to 34","own",4,"yes","Have kids, not old enough to attend schools","full-time employed",NA,"married","College graduate","Caucasian or White And Non-Hispanic","yes",NA,"Christian; just Christian","yes, would","$80,000 to under $100,000","Butte          ","English","Female",1.55676721481875,"Democratic",2008
"53","wrong direction","bad times","no","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","fairly closely","disapprove","disapprove","disapprove","just about always","a few big interests","a lot","middle-of-the-road","only a little","nearly always","yes",30,"25 to 34","own",12,"yes","Have kids, public schools","full-time employed",NA,"married","College graduate","Hispanic or Latino","no","yes, U.S. citizen","Catholic","no, would not","$60,000 to under $80,000","Kern           ","Spanish","Female",1.55676721481875,"Democratic",2008
"54","wrong direction","bad times","yes, serious recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","fairly closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","a lot","very liberal","fair amount","always","yes",28,"25 to 34","own",1,"no","Do not have kids","full-time employed",NA,"never married","Some college","Caucasian or White And Non-Hispanic","yes",NA,"some other religion (SPECIFY)","no, would not","$40,000 to under $60,000","Sacramento     ","English","Female",1.55676721481875,"Democratic",2008
"55","[VOL] don't know","bad times","no","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","not too closely","[VOL] don't know","[VOL] don't know","[VOL] don't know","only some of the time","[VOL] don't know","a lot","[VOL] don't know","[VOL] don't know","always","yes",18,"18 to 24","rent",4,"yes","Have kids, public schools","full-time employed",NA,"married","High school graduate/GED","Asian","no","yes, U.S. citizen",NA,"no, would not","$20,000 to under $40,000","San Joaquin    ","English","Female",1.55676721481875,"Democratic",2008
"56","wrong direction","bad times","[VOL] don't know","yes","Democrat",2,0,0,"Barack Obama and Joe Biden","fairly closely","[VOL] don't know","disapprove","disapprove","[VOL] none of the time, not at all","a few big interests","a lot","somewhat liberal","only a little","part of the time","yes",29,"25 to 34","rent",0,"yes","Have kids, other schools","full-time employed",NA,"divorced","Some college","Caucasian or White And Non-Hispanic","yes",NA,"no religion (includes: not a believer, not religious, atheis",NA,"$20,000 to under $40,000","Stanislaus     ","English","Female",1.55676721481875,"Democratic",2008
"57","wrong direction","bad times","yes, serious recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","very closely","disapprove","disapprove","disapprove","[VOL] none of the time, not at all","a few big interests","a lot","very conservative","great deal","part of the time","yes",42,"35 to 44","rent",2,"yes","Have kids, not old enough to attend schools","not-employed","not employed, student","separated","Some college","Black or African American","yes",NA,"Christian; just Christian","yes, would","Under $20,000","Fresno         ","English","Female",1.45172588729836,"Democratic",2008
"58","wrong direction","bad times","yes, moderate recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","fairly closely","disapprove","disapprove","disapprove","only some of the time","benefit of all of the people","some","somewhat liberal","fair amount","always","yes",43,"35 to 44","own",13,"yes","Have kids, public schools","full-time employed",NA,"married","Post graduate","Caucasian or White And Non-Hispanic","yes",NA,"Protestant (INCL: Baptist, Lutheran, Methodist, Presbyterian","no, would not","$100,000 to under $200,000","Sacramento     ","English","Female",1.45172588729836,"Democratic",2008
